contact_wapp_name,firma,raspuns
Renart Design,Renart Design,called 17.11 and spoke with the Manager who asked me to send the offer via email and recall Wednesday.
Bella Salon virtutii,Bella Salon virtutii,"called 20.11 and spoke with the Manager who asked me to send the offer via whatsapp, recall in a week time."
Eurodent Millenium,Eurodent Millenium,"called 10.11 and spoke with the Manager who asked me to send the offer via whatsapp, recall in a couple of days."
New Dental,New Dental,"called 17.11 and spoke with the assitant who asked me to send the offer via email, recall in a week time."
Oscar Dent,Oscar Dent,called 10.11 and spoke with the Manager who told me that I need to recall in a couple of months for the Google maps and google business profile.
Mihaela Caprini,Mihaela Caprini,"called 12.11 and spoke with the Manager of Na-bi beauty salon, who told em that she is interested and we need to speak again next year bc she's still got the contract with Bucuresti 365 for anothe 6 months. Recall in February, she told me that we need to h"
Ela Salon giurgiului,Ela Salon giurgiului,called 04.11 and spoke with her colleague who told me that I need to recall tomorrow in order to speak with the customer.
Sr Studios,Sr Studios,"called 04.11 and spoke with the Manager, mr. Sofrone Dan who told me that I need to send the offer via email and recall tomorrow."
Identity Clinic - clinică stomatologică bucurești,Identity Clinic - clinică stomatologică bucurești,"called 16.10 and spoke with recep who told me that she cannot tell me precisely but they can be interested, asked me to send the offer via email and recall tomorrow."
Dr. durbac,Dr. durbac,"called 16.10 and spoke with the recep who told me that the Manager will call me back, I will recall tomorrow."
Doctor Gaucan,Doctor Gaucan,"Bogdan called on October 13th and spoke with the assistant, Mrs. Ionel and we've sent her the details even though they weren't currently interested. Recall in a month time."
Optica 87,Optica 87,"called 04.11 and spoke with the store Manager who told me that Mrs. Tatar is in her holiday, recall after November 19th or 20th."
Salon Beauty arena,Salon Beauty arena,Spoke with the Manager who told me that we need to be there and explain them how the calendar works.
Fizio-dent,Fizio-dent,called 05.12 and spoke with recep who told me that I need to send the offer via email and recall mid next week.
Dependent Care,Dependent Care,Talked to Cristi Irimia and he seemed fairly interested in some aspects of the google maps offer. Sent the offer thru e-mail.
Georgiana Patiserie & covrigul imens,Georgiana Patiserie & covrigul imens,"called 08.10 and spoke with the Manager who told me that I can send him an offer, he got the ph number from Georgiana patiserie and they are into transport business.Recall tomorrow."
